1 , 1.7167
2 , 7.8518
3 , 9.3743
4 , 10.9464
5 , 12.0375
6 , 14.3599
7 , 16.5579
8 , 17.8667
9 , 18.4989
10 , 19.1497
11 , 19.7367
12 , 20.5008
13 , 21.1753
14 , 22.0495
15 , 22.6485
1 , 1.4448
2 , 7.1103
3 , 8.5518
4 , 10.1257
5 , 11.6431
6 , 13.3894
7 , 14.5965
8 , 15.1758
9 , 15.7475
10 , 16.3271
11 , 16.8784
12 , 17.4529
13 , 18.0337
14 , 18.6473
15 , 19.1945
1 , 1.3726
2 , 6.4435
3 , 8.0943
4 , 9.6838
5 , 11.2369
6 , 12.9154
7 , 14.1302
8 , 14.7894
9 , 15.3924
10 , 16.0978
11 , 16.7613
12 , 17.4216
13 , 18.0833
14 , 18.7355
15 , 19.4271
1 , 1.4276
2 , 6.9149
3 , 8.169
4 , 9.8373
5 , 11.4852
6 , 13.1127
7 , 14.3737
8 , 15.155
9 , 15.8193
10 , 16.3851
11 , 17.1704
12 , 17.948
13 , 18.69
14 , 19.4548
15 , 20.153
1 , 1.4579
2 , 6.9408
3 , 8.538
4 , 10.0962
5 , 11.8483
6 , 13.249
7 , 14.4875
8 , 15.128
9 , 15.7642
10 , 16.4945
11 , 17.1671
12 , 17.7344
13 , 18.3137
14 , 19.0126
15 , 19.5369
1 , 1.4258
2 , 6.885
3 , 8.1143
4 , 9.7319
5 , 11.425
6 , 13.0073
7 , 14.1134
8 , 14.6187
9 , 15.1299
10 , 15.8849
11 , 16.8149
12 , 17.5251
13 , 18.2368
14 , 18.8744
15 , 19.4494
1 , 1.3981
2 , 6.6841
3 , 8.1074
4 , 9.5591
5 , 11.0335
6 , 12.4572
7 , 13.6293
8 , 14.2181
9 , 14.8222
10 , 15.5517
11 , 16.2466
12 , 16.9083
13 , 17.6108
14 , 18.4056
15 , 19.0742
