1 , 4.1189
2 , 4.306
3 , 4.4835
4 , 4.5969
5 , 4.8193
6 , 5.0096
7 , 5.1295
8 , 5.2447
9 , 5.423
10 , 5.613
11 , 5.8416
12 , 6.0475
13 , 6.3202
14 , 6.4865
15 , 6.6538
1 , 4.1558
2 , 4.3413
3 , 4.5167
4 , 4.6315
5 , 4.8215
6 , 4.9976
7 , 5.1139
8 , 5.2287
9 , 5.403
10 , 5.5809
11 , 5.7559
12 , 5.9396
13 , 6.1113
14 , 6.2123
15 , 6.3749
1 , 3.9614
2 , 4.1933
3 , 4.3716
4 , 4.4861
5 , 4.6713
6 , 4.8481
7 , 4.9596
8 , 5.073
9 , 5.2608
10 , 5.4398
11 , 5.6126
12 , 5.7942
13 , 5.9739
14 , 6.0749
15 , 6.267
1 , 3.8758
2 , 4.0912
3 , 4.2695
4 , 4.4106
5 , 4.6297
6 , 4.8649
7 , 5.0056
8 , 5.178
9 , 5.3516
10 , 5.555
11 , 5.7595
12 , 5.944
13 , 6.1496
14 , 6.2448
15 , 6.4314
1 , 3.8984
2 , 4.081
3 , 4.2593
4 , 4.3989
5 , 4.618
6 , 4.8685
7 , 4.9844
8 , 5.1022
9 , 5.2801
10 , 5.4613
11 , 5.6341
12 , 5.8222
13 , 6.0574
14 , 6.154
15 , 6.3159
1 , 3.9108
2 , 4.1
3 , 4.2757
4 , 4.3898
5 , 4.5849
6 , 4.7584
7 , 4.8692
8 , 4.9833
9 , 5.1609
10 , 5.3443
11 , 5.5349
12 , 5.7198
13 , 5.8951
14 , 5.9929
15 , 6.1504
1 , 3.8524
2 , 4.0391
3 , 4.2134
4 , 4.3275
5 , 4.509
6 , 4.688
7 , 4.8269
8 , 4.9458
9 , 5.1438
10 , 5.3271
11 , 5.5076
12 , 5.6928
13 , 5.8908
14 , 6.0096
15 , 6.193
